"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rpl6",8.23749701940872e-42,0.870004850868275,0.997,0.989,2.6594759127161e-37
"Ensa",8.83506111933222e-42,1.34111602118225,0.981,0.851,2.85239948237641e-37
"Rpl11",9.76050420531386e-42,0.775523654922893,1,0.989,3.15117878268558e-37
"Rpl3",1.11314680748145e-41,0.900382716226384,1,0.983,3.59379446795387e-37
"Strbp",1.38538078792173e-41,1.88349984136757,0.897,0.558,4.47270187380532e-37
"Ran",1.44089821341747e-41,1.17905221941349,0.994,0.901,4.65193988201829e-37
"Camk1",1.64633942229057e-41,2.25355326470516,0.859,0.359,5.31520682486512e-37
"Atp6ap2",2.01798580925951e-41,1.32523387371736,0.991,0.823,6.51506718519431e-37
"Spock2",2.32720728047574e-41,1.29190575785052,0.984,0.812,7.51338870501593e-37
"Atp6v1f",2.95312452147851e-41,1.07195673695677,0.997,0.939,9.53416251759337e-37
"Fgf12",3.0502675954293e-41,1.9850242008184,0.893,0.448,9.84778893184351e-37
"Morf4l2",3.21813547178437e-41,1.40894180312702,0.975,0.796,1.03897503706558e-36
"Rap1gap2",3.28228788503786e-41,2.22807593887405,0.853,0.392,1.05968664368447e-36
"Scoc",3.3514425796345e-41,1.41100845043008,0.987,0.724,1.082013236835e-36
"Dlgap4",4.4094599203855e-41,1.40876045751168,0.959,0.762,1.42359413529646e-36
"Rpl27a",4.41993475394667e-41,0.740345607522285,1,1,1.42697593531168e-36
"Fam131a",5.42380824948065e-41,2.04695162394743,0.853,0.586,1.75107649334483e-36
"Sprn",6.01668905852214e-41,2.49531622860269,0.824,0.326,1.94248806254387e-36
"Cnrip1",6.07233268735485e-41,2.67325180879988,0.837,0.271,1.96045260811251e-36
"Bex3",8.25612546025052e-41,1.26452925458084,0.969,0.823,2.66549010484188e-36
"Ndufa8",1.07556600849178e-40,1.15027321889119,0.991,0.901,3.4724648584157e-36
"Uqcrfs1",1.1071880753857e-40,1.25114602340235,0.978,0.845,3.57455670138274e-36
"Atxn10",1.24268859053947e-40,1.34793220924761,0.975,0.818,4.01202011455669e-36
"Necab3",1.51637636950338e-40,3.19996793261085,0.781,0.199,4.89562110894166e-36
"Unc80",1.86088972840732e-40,1.83260486282521,0.912,0.492,6.00788248816304e-36
"Peg13",1.8992110743527e-40,1.49791115608602,0.962,0.68,6.13160295354769e-36
"Pdxp",1.92657353313205e-40,1.30142926087507,0.975,0.746,6.21994265171682e-36
"Hcfc1r1",2.16992238722238e-40,1.31715404069462,0.975,0.856,7.00559442714746e-36
"mt-Nd4",2.34748499288735e-40,0.731232806233459,1,1,7.57885529953682e-36
"Rps7",2.5456011408249e-40,0.801839006643174,1,1,8.21847328315319e-36
"Rpl26",2.55335390059628e-40,0.697241470183947,1,1,8.24350306807509e-36
